"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",240123,2024-01-23,092741,CME ,00,092 ,   48398,    8895,    7068,      41,   14138,   16755,     476,    9303,    8879,      78,    1394,       0,       0,   34325,   33297,   14073,   15101,   -2082,    1413,   -2783,      41,   -1503,     -37,     -34,    1540,    1137,    -258,    -240,   -1600,       0,     959,   -3534,   -3041,    1452,  100.0,   18.4,   14.6,    0.1,   29.2,   34.6,    1.0,   19.2,   18.3,    0.2,    2.9,    0.0,    0.0,   70.9,   68.8,   29.1,   31.2,     51,      4,      6,.,      7,     11,.,     11,     10,.,.,      0,      0,     28,     29,    39.1,    24.5,    49.5,    38.6,    39.0,    24.5,    49.4,    37.8,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",240116,2024-01-16,092741,CME ,00,092 ,   50480,    7482,    9851,       0,   15641,   16792,     510,    7763,    7742,     336,    1634,    1600,       0,   33366,   36831,   17114,   13649,     311,    -629,    1014,       0,   -1032,     -92,      40,     306,    -519,     143,     161,       0,       0,   -1011,     586,    1322,    -275,  100.0,   14.8,   19.5,    0.0,   31.0,   33.3,    1.0,   15.4,   15.3,    0.7,    3.2,    3.2,    0.0,   66.1,   73.0,   33.9,   27.0,     53,.,      7,      0,      8,     10,.,     13,      9,.,.,.,      0,     30,     29,    38.7,    25.6,    45.9,    41.9,    38.7,    24.6,    45.9,    40.9,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",240109,2024-01-09,092741,CME ,00,092 ,   50169,    8111,    8837,       0,   16673,   16884,     470,    7457,    8261,     193,    1473,    1600,       0,   34377,   36245,   15792,   13924,   -1067,   -1371,     130,       0,    1047,   -1025,     466,    -878,     826,     -32,    -143,    -465,       0,    -911,    -100,    -156,    -967,  100.0,   16.2,   17.6,    0.0,   33.2,   33.7,    0.9,   14.9,   16.5,    0.4,    2.9,    3.2,    0.0,   68.5,   72.2,   31.5,   27.8,     51,.,      7,      0,      8,     10,.,     12,      8,.,.,.,      0,     28,     27,    40.3,    25.8,    49.3,    42.5,    40.3,    24.9,    49.3,    41.5,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",240102,2024-01-02,092741,CME ,00,092 ,   51236,    9482,    8707,       0,   15626,   17909,       4,    8335,    7435,     225,    1616,    2065,       0,   35288,   36345,   15948,   14891,    4014,   -1714,     658,       0,    3046,    1883,       0,     823,    1237,       6,       0,    1514,       0,    2161,    5298,    1853,   -1284,  100.0,   18.5,   17.0,    0.0,   30.5,   35.0,    0.0,   16.3,   14.5,    0.4,    3.2,    4.0,    0.0,   68.9,   70.9,   31.1,   29.1,     52,.,      7,      0,      8,     10,.,     12,      8,.,.,.,      0,     27,     28,    40.3,    24.6,    49.1,    42.6,    40.3,    24.6,    49.1,    42.6,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",240213,2024-02-13,096742,CME ,00,096 ,  199070,   30810,   16437,    6579,   52761,   95878,    6499,   65293,   29875,   11423,     471,    3556,     107,  173943,  170354,   25127,   28716,    -176,   -4106,    5762,     206,    6609,    3359,     604,   -5034,   -8740,     467,     471,    -427,      10,    -773,    1241,     597,   -1417,  100.0,   15.5,    8.3,    3.3,   26.5,   48.2,    3.3,   32.8,   15.0,    5.7,    0.2,    1.8,    0.1,   87.4,   85.6,   12.6,   14.4,    110,      6,      7,.,     11,     33,     11,     22,     24,     12,.,      5,.,     55,     82,    27.3,    26.1,    47.9,    39.7,    26.8,    24.7,    46.0,    36.5,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",240206,2024-02-06,096742,CME ,00,096 ,  199246,   34916,   10675,    6373,   46152,   92519,    5895,   70327,   38615,   10956,       0,    3983,      97,  174716,  169113,   24530,   30133,    7017,   10739,   -6975,    -291,   -7206,    5437,   -1064,   13219,    9012,   -3312,       0,     448,       6,   12091,    3261,   -5074,    3756,  100.0,   17.5,    5.4,    3.2,   23.2,   46.4,    3.0,   35.3,   19.4,    5.5,    0.0,    2.0,    0.0,   87.7,   84.9,   12.3,   15.1,    117,      7,      6,.,     10,     33,     10,     31,     23,     12,      0,      6,.,     60,     82,    26.8,    24.1,    47.0,    36.7,    26.2,    22.7,    45.1,    33.4,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",240130,2024-01-30,096742,CME ,00,096 ,  192229,   24177,   17650,    6664,   53358,   87082,    6959,   57108,   29603,   14268,       0,    3535,      91,  162625,  165852,   29604,   26377,    6549,    -470,     150,    -263,    2563,     917,     176,    1948,    3307,    2490,       0,      -8,      -1,    6443,    6768,     106,    -219,  100.0,   12.6,    9.2,    3.5,   27.8,   45.3,    3.6,   29.7,   15.4,    7.4,    0.0,    1.8,    0.0,   84.6,   86.3,   15.4,   13.7,    106,      4,      8,.,     11,     30,     12,     23,     24,     13,      0,      5,.,     54,     80,    27.0,    24.0,    46.1,    38.6,    26.0,    22.6,    44.2,    35.0,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",240123,2024-01-23,096742,CME ,00,096 ,  185680,   24647,   17500,    6927,   50795,   86165,    6783,   55160,   26296,   11778,       0,    3543,      92,  156182,  159084,   29498,   26596,    5922,    1000,    3983,     426,    4916,    4322,    -453,   -1120,   -2102,    1171,       0,    1446,      92,    6032,    8885,    -110,   -2963,  100.0,   13.3,    9.4,    3.7,   27.4,   46.4,    3.7,   29.7,   14.2,    6.3,    0.0,    1.9,    0.0,   84.1,   85.7,   15.9,   14.3,    106,      4,      8,.,     11,     31,     12,     25,     21,     11,      0,      5,.,     52,     80,    26.9,    24.1,    45.1,    39.1,    25.3,    22.9,    43.1,    35.9,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",240116,2024-01-16,096742,CME ,00,096 ,  179758,   23647,   13517,    6501,   45879,   81843,    7236,   56280,   28398,   10607,       0,    2097,       0,  150150,  150199,   29608,   29559,    7127,   -3043,    3445,    -317,    4479,   -4867,     682,    2452,    3218,    1239,       0,       0,       0,    5492,    3400,    1635,    3727,  100.0,   13.2,    7.5,    3.6,   25.5,   45.5,    4.0,   31.3,   15.8,    5.9,    0.0,    1.2,    0.0,   83.5,   83.6,   16.5,   16.4,    107,      6,      6,.,     14,     28,     12,     26,     23,     13,      0,.,      0,     57,     77,    26.2,    25.3,    42.1,    39.2,    23.9,    23.7,    39.6,    35.9,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",240109,2024-01-09,096742,CME ,00,096 ,  172631,   26690,   10072,    6818,   41400,   86710,    6554,   53828,   25180,    9368,       0,    2097,       0,  144658,  146799,   27973,   25832,   -5139,    -100,   -1330,     342,    -746,   -2246,    1637,   -4009,   -1403,   -1111,       0,     220,       0,   -3987,   -3891,   -1152,   -1248,  100.0,   15.5,    5.8,    3.9,   24.0,   50.2,    3.8,   31.2,   14.6,    5.4,    0.0,    1.2,    0.0,   83.8,   85.0,   16.2,   15.0,    105,      7,      7,.,     11,     30,     10,     26,     20,     13,      0,.,      0,     57,     74,    27.1,    26.4,    42.3,    40.6,    24.7,    26.0,    39.0,    38.1,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",240102,2024-01-02,096742,CME ,00,096 ,  177770,   26790,   11402,    6476,   42146,   88956,    4917,   57837,   26583,   10479,       0,    1877,       0,  148645,  150690,   29125,   27080,    2632,    4122,   -4040,    -173,   -3210,    1698,     961,    3957,    1446,    -325,       0,       0,       0,    5332,    -433,   -2700,    3065,  100.0,   15.1,    6.4,    3.6,   23.7,   50.0,    2.8,   32.5,   15.0,    5.9,    0.0,    1.1,    0.0,   83.6,   84.8,   16.4,   15.2,    106,      5,      8,.,     14,     28,     11,     28,     20,     12,      0,.,      0,     59,     72,    25.2,    28.2,    39.5,    43.1,    21.9,    27.8,    35.4,    40.9,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",240213,2024-02-13,097741,CME ,00,097 ,  304592,  120278,   17048,     133,   68114,  122609,    5159,   42980,  101349,    8108,   16631,    3361,       0,  261403,  257767,   43189,   46825,   45050,   39147,    1976,     -72,     548,   13597,     145,    2712,   20691,    1133,    -352,     908,       0,   43261,   38378,    1789,    6672,  100.0,   39.5,    5.6,    0.0,   22.4,   40.3,    1.7,   14.1,   33.3,    2.7,    5.5,    1.1,    0.0,   85.8,   84.6,   14.2,   15.4,    160,     14,      6,.,     22,     36,      9,     21,     48,     16,     10,.,      0,     78,    109,    37.4,    26.7,    48.7,    39.6,    37.4,    26.7,    47.3,    39.4,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",240206,2024-02-06,097741,CME ,00,097 ,  259542,   81131,   15072,     205,   67566,  109012,    5014,   40268,   80658,    6975,   16983,    2453,       0,  218142,  219389,   41400,   40153,   17513,    9532,    3411,      -4,    1482,    8220,    -514,    5000,    5876,     969,    1521,     954,       0,   17986,   18912,    -473,   -1399,  100.0,   31.3,    5.8,    0.1,   26.0,   42.0,    1.9,   15.5,   31.1,    2.7,    6.5,    0.9,    0.0,   84.0,   84.5,   16.0,   15.5,    156,     14,      5,.,     21,     33,     10,     30,     39,     14,     12,.,      0,     86,     96,    28.6,    27.9,    40.9,    41.5,    28.6,    27.9,    39.9,    41.5,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",240130,2024-01-30,097741,CME ,00,097 ,  242029,   71599,   11661,     209,   66084,  100792,    5528,   35268,   74782,    6006,   15462,    1499,       0,  200156,  200477,   41873,   41552,   -1003,    5533,    -625,       3,     358,    6392,     -31,  -11331,    -317,      51,    2460,   -1762,       0,   -2957,    3711,    1954,   -4714,  100.0,   29.6,    4.8,    0.1,   27.3,   41.6,    2.3,   14.6,   30.9,    2.5,    6.4,    0.6,    0.0,   82.7,   82.8,   17.3,   17.2,    150,     15,      5,.,     21,     32,     10,     26,     38,     12,     11,.,      0,     81,     93,    28.9,    26.9,    41.0,    39.6,    28.9,    26.9,    40.0,    39.6,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",240123,2024-01-23,097741,CME ,00,097 ,  243032,   66066,   12286,     206,   65726,   94400,    5559,   46599,   75099,    5955,   13002,    3261,       0,  203113,  196766,   39919,   46266,   29723,   18840,     614,    -199,    -452,   20762,     779,   11048,    3365,     457,   -2226,    1286,       0,   28247,   27064,    1476,    2659,  100.0,   27.2,    5.1,    0.1,   27.0,   38.8,    2.3,   19.2,   30.9,    2.5,    5.3,    1.3,    0.0,   83.6,   81.0,   16.4,   19.0,    148,     14,      4,.,     21,     31,     12,     29,     36,     14,     10,.,      0,     85,     91,    26.4,    25.9,    38.5,    38.0,    26.4,    25.9,    37.1,    38.0,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",240116,2024-01-16,097741,CME ,00,097 ,  213309,   47226,   11672,     405,   66178,   73638,    4780,   35551,   71734,    5498,   15228,    1975,       0,  174866,  169702,   38443,   43607,   13010,    8432,    1563,    -153,     432,   13681,     336,    2621,   -6325,    1032,    2804,   -1552,       0,   15504,    8582,   -2494,    4428,  100.0,   22.1,    5.5,    0.2,   31.0,   34.5,    2.2,   16.7,   33.6,    2.6,    7.1,    0.9,    0.0,   82.0,   79.6,   18.0,   20.4,    146,     12,      5,.,     22,     31,     11,     29,     32,     14,     12,.,      0,     86,     87,    26.0,    25.3,    36.0,    37.0,    26.0,    25.2,    34.8,    36.9,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",240109,2024-01-09,097741,CME ,00,097 ,  200299,   38794,   10109,     558,   65746,   59957,    4444,   32930,   78059,    4466,   12424,    3527,       0,  159362,  161120,   40937,   39179,   16257,    7234,    3017,    -514,    1121,   17884,    -703,    4094,   -9572,     734,    1340,    2512,       0,   13306,   13358,    2951,    2899,  100.0,   19.4,    5.0,    0.3,   32.8,   29.9,    2.2,   16.4,   39.0,    2.2,    6.2,    1.8,    0.0,   79.6,   80.4,   20.4,   19.6,    136,     10,      6,.,     23,     25,     11,     27,     31,      9,     10,      4,      0,     79,     80,    27.5,    30.3,    37.3,    39.9,    27.1,    30.3,    35.7,    39.9,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
